"id","pid","tstamp","title","alias","author","addTime","startTime","endTime","startDate","endDate","pageTitle","description","location","address","teaser","addImage","overwriteMeta","singleSRC","alt","imageTitle","size","imagemargin","imageUrl","fullsize","caption","floating","recurring","repeatEach","repeatEnd","recurrences","addEnclosure","enclosure","source","jumpTo","articleId","url","target","cssClass","noComments","published","start","stop","exceptionList","allRecurrences","repeatExceptionsPer","repeatExceptionsInt","repeatExceptions","repeatEachExt","location_mail","location_contact","location_link","location_ort","location_plz","location_str","location_name","recurringExt","hideOnWeekend","weekday","showOnFreeDay","useExceptions","ignoreEndTime","repeatFixedDates","repeatWeekday","disable_editing","fe_user","unsubscribeLimitTstamp","unsubscribeLimit","enableDeregistration","eventBookingNotificationSender","eventBookingNotificationCenterIds","enableNotificationCenter","includeEscortsWhenCalculatingRegCount","maxEscortsPerMember","maxMembers","minMembers","bookingEndDate","bookingStartDate","enableMultiBookingWithSameAddress","addBookingForm","city","postal","street","featured","robots","reg_requireConfirm","reg_cancelEnd","reg_regEnd","reg_max","reg_min","reg_form","reg_enable","reg_waitingListAdvancementNotification","reg_enableWaitingList","price"
"206","2","1447369200","Jürgen + Friederike","juergen-206","0","1","1447441200","1447452000","1447369200","1447369200",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"207","2","1446764400","Eckhard + Gerd","eckhard-207","0","1","1446836400","1446847200","1446764400","1446764400",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"208","2","1449183600","Eckhard und ","eckhard-208","0","1","1449255600","1449266400","1449183600","1449183600",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"212","2","1432850400","Georg und Eckhard ","georg-und-eckhard","0","1","1432922400","1432935000","1432850400","1432850400",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"215","2","1429221600","Manfred","manfred","0","1","1429293600","1429304400","1429221600","1429221600",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"216","2","1431036000","Michael + Michael","michael-michael","0","1","1431108000","1431118800","1431036000","1431036000",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"217","2","1431036000","Michael + Michael","michael-michael-217","0","1","1431108000","1431118800","1431036000","1431036000",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"218","2","1432245600","Manfred","manfred-218","0","1","1432317600","1432328400","1432245600","1432245600",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"219","2","1430431200","Feiertag- geschlossen","feiertag-geschlossen","0","1","1430503200","1430514000","1430431200","1430431200",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"220","2","1434664800","Manfred","manfred-220","0","1","1434736800","1434747600","1434664800","1434664800",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"221","2","1440108000","Manfred","manfred-221","0","1","1440180000","1440190800","1440108000","1440108000",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"222","2","1443132000","Manfred + Friederike","manfred-222","0","1","1443204000","1443214800","1443132000","1443132000",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"223","2","1445551200","Manfred ? + Gerd","manfred-223","0","1","1445623200","1445634000","1445551200","1445551200",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"224","2","1447974000","Manfred und Thomas","manfred-224","0","1","1448046000","1448056800","1447974000","1447974000",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"225","2","1450393200","Manfred ? + Friederike","manfred-225","0","1","1450465200","1450476000","1450393200","1450393200",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"229","2","1436479200","Thomas","thomas","0","1","1436551200","1436565540","1436479200","1436479200",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"230","2","1438293600","Thomas","thomas-230","0","1","1438365600","1438379940","1438293600","1438293600",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
