pid;tstamp;title;author;addTime;startTime;endTime;startDate;endDate;pageTitle;description;location;address;teaser;addImage;overwriteMeta;singleSRC;alt;imageTitle;size;imagemargin;imageUrl;fullsize;caption;floating;recurring;repeatEach;recurrences;addEnclosure;enclosure;source;url;target;cssClass;noComments;published;start;stop;exceptionList;allRecurrences;repeatExceptionsPer;repeatExceptionsInt;repeatExceptions;repeatEachExt;location_mail;location_contact;location_link;location_ort;location_plz;location_str;location_name;recurringExt;hideOnWeekend;weekday;showOnFreeDay;useExceptions;ignoreEndTime;repeatFixedDates;repeatWeekday;disable_editing;unsubscribeLimitTstamp;unsubscribeLimit;enableDeregistration;eventBookingNotificationSender;eventBookingNotificationCenterIds;enableNotificationCenter;includeEscortsWhenCalculatingRegCount;maxEscortsPerMember;maxMembers;minMembers;bookingEndDate;bookingStartDate;enableMultiBookingWithSameAddress;addBookingForm;city;postal;street;featured;robots;reg_requireConfirm;reg_cancelEnd;reg_regEnd;reg_max;reg_min;reg_form;reg_enable;reg_waitingListAdvancementNotification;reg_enableWaitingList;price
2;1436479200;Thomas;0;1;20:00;23:59;10.07.2015;10.07.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1438293600;Thomas;0;1;20:00;23:59;31.07.2015;31.07.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1438293600;Thomas;0;1;20:00;23:59;31.07.2015;31.07.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1438898400;Friederike;0;1;20:00;23:00;07.08.2015;07.08.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1437688800;"Friederike & JÃ¼rgen";0;1;20:00;23:00;24.07.2015;;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1437688800;"Friederike & JÃ¼rrgen";0;1;20:00;23:00;24.07.2015;24.07.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1441317600;"Andreas Sebastian";0;1;20:00;01:00;04.09.2015;;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1439503200;"Michael und Albrecht";0;1;20:00;20:00;14.08.2015;;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1440712800;Michael;20;1;20:00;23:59;28.08.2015;28.08.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1444341600;"Michael + Michael";0;1;20:00;20:00;09.10.2015;;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1448578800;Michael+Michael;0;1;20:00;20:00;27.11.2015;;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1443736800;"Uli + Thomas";0;1;20:00;20:00;02.10.2015;;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1452207600;"JÃ¼rgen + Gerd";0;1;20:00;23:30;08.01.2016;08.01.2016;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1455836400;"JÃ¼rgen + Friederike";0;1;20:00;23:30;19.02.2016;19.02.2016;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1457650800;"JÃ¼rgen + Friederike";0;1;20:00;23:30;11.03.2016;11.03.2016;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1461276000;"JÃ¼rgen + Gerd";0;1;20:00;23:30;22.04.2016;22.04.2016;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1463695200;"JÃ¼rgen + Friederike";0;1;20:00;23:30;20.05.2016;20.05.2016;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1466719200;JÃ¼rgen;0;1;20:00;23:30;24.06.2016;24.06.2016;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1469138400;"JÃ¼rgen + Friederike";0;1;20:00;23:30;22.07.2016;22.07.2016;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1467324000;Heinerfest;0;1;20:00;23:30;01.07.2016;01.07.2016;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1467324000;"Geschlossen - Heinerfest";0;1;20:00;23:30;01.07.2016;01.07.2016;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1472162400;"Michael.H + Gerd";0;1;20:00;23:30;26.08.2016;26.08.2016;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1477605600;"JÃ¼rgen + Friederike";0;1;20:00;23:30;28.10.2016;28.10.2016;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
